country,latDem,Dem,Index,colour,pval,tau,ips_ss_val,sa_ss_val,ips_work,ips_trsm,ips_study,ips_fam,ips_mar,ips_sch,ips_med,ips_trans,ips_sprt,sa_work,sa_trsm,sa_study,sa_fam,sa_mar,sa_sch,sa_med,sa_trans,sa_sprt,ips_work_val,ips_trsm_val,ips_study_val,ips_fam_val,ips_mar_val,ips_sch_val,ips_med_val,ips_trans_val,ips_sprt_val,sa_work_val,sa_trsm_val,sa_study_val,sa_fam_val,sa_mar_val,sa_sch_val,sa_med_val,sa_trans_val,sa_sprt_val,DemandPop,LatDemPop,ips_work_val_perc,ips_trsm_val_perc,ips_study_val_perc,ips_fam_val_perc,ips_mar_val_perc,ips_sch_val_perc,ips_med_val_perc,ips_trans_val_perc,ips_sprt_val_perc,sa_work_val_perc,sa_trsm_val_perc,sa_study_val_perc,sa_fam_val_perc,sa_mar_val_perc,sa_sch_val_perc,sa_med_val_perc,sa_trans_val_perc,sa_sprt_val_perc
"Tanzania, United Republic of",57,44,57,#b3adaa,0.073,0.57,18,6,2,3,4,1,5,6,7,8,9,1,4,3,2,5,6,7,8,9,4,3,0,11,0,0,0,0,0,3,0,1,2,0,0,0,0,0,Family,Work,22.22,16.67,0,61.11,0,0,0,0,0,50,0,16.67,33.33,0,0,0,0,0
Cote d'Ivoire,56,19,58,#b3adaa,0.72,-0.12,1,4,2,3,4,1,5,6,7,8,9,2,1,3,4,5,6,7,8,9,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Family,Tourism,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0
Barbados,55,35,59,#b3adaa,1,0,11,4,3,4,6,1,7,8,5,2,9,1,2,4,5,3,6,7,8,9,1,1,0,4,0,0,1,4,0,2,1,0,0,1,0,0,0,0,Family,Work,9.09,9.09,0,36.36,0,0,9.09,36.36,0,50,25,0,0,25,0,0,0,0
Montenegro,54,18,60,#b3adaa,0.54,0.2,4,4,2,1,4,5,6,7,8,3,9,4,1,2,5,6,7,3,8,9,1,2,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,Tourism,Tourism,25,50,0,0,0,0,0,25,0,0,50,25,0,0,0,25,0,0
"Taiwan, Province of China",53,70,61,#95C7EC,0.084,0.54,63,5,2,1,4,3,6,7,8,5,9,1,3,2,4,5,6,7,8,9,9,39,4,9,0,0,0,2,0,2,1,2,0,0,0,0,0,0,Tourism,Work,14.29,61.9,6.35,14.29,0,0,0,3.17,0,40,20,40,0,0,0,0,0,0
Italy,52,108,62,#00A3E0,0,0,1834,0,2,1,5,3,7,8,9,4,6,1,2,3,4,5,6,7,8,9,470,842,81,316,0,0,0,98,27,0,0,0,0,0,0,0,0,0,Tourism,Work,25.63,45.91,4.42,17.23,0,0,0,5.34,1.47,0,0,0,0,0,0,0,0,0
Poland,51,105,63,#00A3E0,0,0,1315,0,2,3,5,1,8,9,7,4,6,1,2,3,4,5,6,7,8,9,445,199,9,562,0,0,2,92,6,0,0,0,0,0,0,0,0,0,Family,Work,33.84,15.13,0.68,42.74,0,0,0.15,7,0.46,0,0,0,0,0,0,0,0,0
Bahrain,50,61,64,#95C7EC,0.1,0.56,31,3,2,1,6,3,7,8,5,4,9,2,1,3,4,5,6,7,9,8,6,16,0,5,0,0,1,3,0,0,3,0,0,0,0,0,0,0,Tourism,Tourism,19.35,51.61,0,16.13,0,0,3.23,9.68,0,0,100,0,0,0,0,0,0,0
Liberia,49,9,65,#b3adaa,0,0,0,3,1,2,3,4,5,6,7,8,9,2,1,3,4,5,6,7,8,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Work,Tourism,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
Bosnia and Herzegovina,48,31,66,#b3adaa,0.55,0.2,5,3,2,3,4,5,6,7,8,1,9,2,1,3,4,5,6,7,8,9,2,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,Transit,Tourism,40,0,0,0,0,0,0,60,0,33.33,66.67,0,0,0,0,0,0,0
